user_tier,tier_name,base_limit,historical_avg_requests,behavioral_consistency,endpoint_usage_patterns,time_of_day_patterns,burst_frequency,optimal_limit
2,enterprise,500,244.97655108360505,0.9364094753722549,0.2643324398376339,0.531430261024184,0.4155252329833927,809.390028140022
2,enterprise,500,446.56487689215544,0.44412207072463666,0.2971634215970358,0.4563670169733511,0.491662755878344,352.8032041374575
1,premium,150,62.046426582320734,0.8781996491193196,0.4215708467702021,0.5957500333198613,0.2524128331445992,200.54783958988375
2,enterprise,500,112.43232277934828,0.5393924118013632,0.4531072077477187,0.38939392591841465,0.32378221203963253,438.4326793346895
2,enterprise,500,336.1636025047634,0.5364093001629846,0.09728173158301505,0.5511900172901647,0.2977232579133688,419.2160377219044
0,free,60,37.87838578288373,0.2262713106443447,0.6346338658465347,0.5153476126384747,0.04487312338454602,22.33692461594913
2,enterprise,500,251.6877321248707,0.848141101382597,0.7325922656152803,0.4480062641416176,0.43871605950295495,628.782185699867
1,premium,150,123.01890516119212,0.38334901767356333,0.5013522608952794,0.3281627800518566,0.48942316218177107,72.61271715463066
2,enterprise,500,227.97020071411868,0.7242056056902026,0.5327580830063221,0.27779566462434446,0.2853017456143892,419.66926101427214
0,free,60,41.524208622592596,0.6403989796204823,0.6052061023513459,0.22406431673418958,0.5513965682630241,61.34175323891028
2,enterprise,500,378.7084603742452,0.5588357531970957,0.5891388439767308,0.4004237995236317,0.17959818593767246,353.19830685991616
0,free,60,24.291880164723846,0.14153575273748675,0.5006400908966262,0.5897025702955978,0.1717506928570625,11.97258898068556
1,premium,150,89.93766927787482,0.7696046643627047,0.37954938653273207,0.5616099270126454,0.37993205385895346,189.0224021145442
0,free,60,78.52731490654722,0.4191330020168738,0.6180419680016784,0.6206873965818799,0.346540475487997,38.132077688141614
0,free,60,21.196874115474436,0.5432955204360868,0.5669272851347631,0.5359433072121705,0.31846329467372636,44.303540644403775
2,enterprise,500,315.7201855097078,0.9577865084713695,0.8428500093890727,0.3804966932861074,0.8766470006393311,737.2046946265476
1,premium,150,69.2683707599713,0.5682041369484614,0.4754258493757348,0.6317763227342155,0.618117012171324,127.87313498132396
2,enterprise,500,320.4282942001329,0.7114997188739735,0.3156020633417561,0.5227271759711538,0.2791510976179211,547.6743825422317
0,free,60,45.81314134035724,0.04975775305382344,0.42377846760099247,0.39466865930268913,0.5198134219437022,0.7867264802271665
0,free,60,72.53985126087606,0.2532866495264171,0.40400196523423937,0.705434618820328,0.15579054674133797,21.169555683646283
1,premium,150,118.8503652779284,0.7430344299984196,0.7126431378481417,0.44266823570991576,0.18027262586532902,168.53383555436935
1,premium,150,94.38325130953558,0.38152158039650347,0.408881515072823,0.22747661170514177,0.5031898878048654,73.96655590937958
0,free,60,25.800383670083097,0.2724507149374811,0.6043255849038688,0.2480094759201696,0.40083446442870846,24.93848033148657
1,premium,150,105.50026017215055,0.8780242602348897,0.7164172761478818,0.45490909318581624,0.5658714728192902,165.69702268820308
2,enterprise,500,271.7778811012789,0.924004132486369,0.753520264704623,0.41743473372179096,0.4218811673471082,706.7848572591472
1,premium,150,118.68549797042496,0.6845799568925909,0.3550762848552943,0.37244657314347546,0.4759632443357319,101.85795209628459
2,enterprise,500,421.28150736826854,0.973051592416217,0.6499227725662858,0.6534720668519346,0.4738097505440528,716.3183525899348
2,enterprise,500,340.3119327085577,0.4867924937805314,0.602712312816251,0.3200454581958991,0.4236251182245214,276.8880253703944
1,premium,150,131.35938379022832,0.4822400274449079,0.6014687657277463,0.5421395319720683,0.39129590478206416,106.97476348790643
1,premium,150,82.7254527806596,0.8047750364874391,0.43847390985544327,0.7047208938191648,0.4351975709021464,187.07766776577935
0,free,60,31.249913325419243,0.48639128227519335,0.4383241514829657,0.5193086237038392,0.1815931549101936,44.23942525065311
1,premium,150,103.82096435611467,0.7595921454184386,0.4071863086531767,0.7403738969794256,0.6086168065089267,173.51772765669222
0,free,60,31.852158720097027,0.11649510790898755,0.37740662012231174,0.3335634592150927,0.23663402937129568,27.187224252743185
2,enterprise,500,444.15686206579005,0.7652111332961492,0.5502193829688767,0.26965349046329623,0.529265903515527,608.1064318458344
1,premium,150,79.5776717628834,0.7585186055486817,0.252902638605502,0.4136610942422066,0.5858150537368462,140.09481822078556
2,enterprise,500,328.6941261224298,0.7266112925036777,0.38106244869301714,0.5942966125648387,0.8419938790725007,630.2497123446426
2,enterprise,500,367.58087300440803,0.7171171166782063,0.8373156242960619,0.5138616405519834,0.4577018130988003,581.3181335139378
2,enterprise,500,564.357158339855,0.6474090172526203,0.6635282230924724,0.6119637618957549,0.12924260608518742,545.8052953045027
0,free,60,33.0960071569825,0.777559308108517,0.4200910030253279,0.29285092961320114,0.4800582218495776,77.60109100922082
2,enterprise,500,296.2964086280882,0.812184072528815,0.5092924705560881,0.2994138943847536,0.5571413415188603,665.6205286452297
2,enterprise,500,438.8582269040288,0.32910700051575764,0.5704747280164224,0.767458824654098,0.5261318062889591,143.16073876641073
2,enterprise,500,222.9477789165897,0.9468413981607775,0.4018162837921832,0.49370021883325227,0.20051699349206292,760.648298767662
0,free,60,43.26133022242118,0.30868073930499373,0.22287108816208484,0.10654996780569895,0.25111623935253985,22.883434083120363
